id,latitude,longitude,elevation,name,element,first_year,last_year
ASM00094275,-18.3,143.55,295,GEORGETOWN POST OFFICE,TMAX,1977,1980
ASM00094275,-18.3,143.55,295,GEORGETOWN POST OFFICE,TMIN,1979,1998
ASM00094275,-18.3,143.55,295,GEORGETOWN POST OFFICE,PRCP,1977,2007
ASM00094275,-18.3,143.55,295,GEORGETOWN POST OFFICE,TAVG,1975,2007
ASM00094299,-16.288,149.965,9,WILLIS ISLAND,TMAX,1948,2021
ASM00094299,-16.288,149.965,9,WILLIS ISLAND,TMIN,1948,2021
ASM00094299,-16.288,149.965,9,WILLIS ISLAND,PRCP,1948,2021
ASM00094299,-16.288,149.965,9,WILLIS ISLAND,TAVG,1948,2021
ASM00094940,-35.083,150.8,85,JERVIS BAY,TMIN,1979,1981
ASM00094940,-35.083,150.8,85,JERVIS BAY,PRCP,1973,2004
ASM00094940,-35.083,150.8,85,JERVIS BAY,TAVG,1973,2004
ASM00094995,-31.542,159.079,7,LORD HOWE ISLAND AERO,TMAX,1948,2021
ASM00094995,-31.542,159.079,7,LORD HOWE ISLAND AERO,TMIN,1948,2021
ASM00094995,-31.542,159.079,7,LORD HOWE ISLAND AERO,PRCP,1948,2021
ASM00094995,-31.542,159.079,7,LORD HOWE ISLAND AERO,TAVG,1947,2021
ASM00094997,-53.1,73.717,12,HEARD ISLAND (THE SPIT),TAVG,1986,2015
ASM00094998,-54.499,158.937,8.3,MACQUARIE ISLAND,TMAX,1973,2021
ASM00094998,-54.499,158.937,8.3,MACQUARIE ISLAND,TMIN,1977,2021
ASM00094998,-54.499,158.937,8.3,MACQUARIE ISLAND,PRCP,1973,2021
ASM00094998,-54.499,158.937,8.3,MACQUARIE ISLAND,TAVG,1973,2021
ASM00095997,-53.017,73.4,4,HEARD ISLAND (ATLAS COVE),PRCP,2002,2002
ASM00095997,-53.017,73.4,4,HEARD ISLAND (ATLAS COVE),TAVG,1998,2012
ASN00001000,-16.2919,127.1956,320,KARUNJIE,PRCP,1940,1981
ASN00001000,-16.2919,127.1956,320,KARUNJIE,DAPR,1963,1980
ASN00001000,-16.2919,127.1956,320,KARUNJIE,DWPR,1963,1980
ASN00001000,-16.2919,127.1956,320,KARUNJIE,MDPR,1963,1980
ASN00001001,-15.1806,127.8456,2,OOMBULGURRI,PRCP,1914,2011
ASN00001001,-15.1806,127.8456,2,OOMBULGURRI,DAPR,1916,2009
ASN00001001,-15.1806,127.8456,2,OOMBULGURRI,DWPR,1916,2009
ASN00001001,-15.1806,127.8456,2,OOMBULGURRI,MDPR,1916,2009
ASN00001003,-14.1331,126.7158,5,PAGO MISSION,PRCP,1909,1940
ASN00001004,-15.4167,124.7167,47,KUNMUNYA,PRCP,1915,1948
ASN00001005,-15.4644,128.1,20,WYNDHAM PORT,TMAX,1957,1967
ASN00001005,-15.4644,128.1,20,WYNDHAM PORT,TMIN,1957,1967
ASN00001005,-15.4644,128.1,20,WYNDHAM PORT,PRCP,1887,1995
ASN00001005,-15.4644,128.1,20,WYNDHAM PORT,DAPR,1959,1993
ASN00001005,-15.4644,128.1,20,WYNDHAM PORT,DWPR,1959,1993
ASN00001005,-15.4644,128.1,20,WYNDHAM PORT,MDPR,1959,1993
ASN00001006,-15.51,128.1503,3.8,WYNDHAM AERO,TMAX,2000,2021
ASN00001006,-15.51,128.1503,3.8,WYNDHAM AERO,TMIN,2000,2021
ASN00001006,-15.51,128.1503,3.8,WYNDHAM AERO,PRCP,1951,2021
ASN00001006,-15.51,128.1503,3.8,WYNDHAM AERO,DAPR,1963,1976
ASN00001006,-15.51,128.1503,3.8,WYNDHAM AERO,DWPR,1963,1976
ASN00001006,-15.51,128.1503,3.8,WYNDHAM AERO,MDPR,1963,1976
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,TMAX,1957,2021
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,TMIN,1957,2021
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,PRCP,1956,2021
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,DAPR,1972,1972
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,DATX,2005,2005
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,DWPR,1972,1972
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,MDPR,1972,1972
ASN00001007,-13.7542,126.1485,6,TROUGHTON ISLAND,MDTX,2005,2005
ASN00001008,-16.3017,126.1825,640,MOUNT ELIZABETH OLD SITE,PRCP,1959,1977
ASN00001008,-16.3017,126.1825,640,MOUNT ELIZABETH OLD SITE,DAPR,1974,1975
ASN00001008,-16.3017,126.1825,640,MOUNT ELIZABETH OLD SITE,DWPR,1974,1975
ASN00001008,-16.3017,126.1825,640,MOUNT ELIZABETH OLD SITE,MDPR,1974,1975
ASN00001009,-15.4875,124.5222,12,KURI BAY,TMAX,1965,2012
ASN00001009,-15.4875,124.5222,12,KURI BAY,TMIN,1965,2012
ASN00001009,-15.4875,124.5222,12,KURI BAY,PRCP,1961,2012
ASN00001009,-15.4875,124.5222,12,KURI BAY,DAPR,1972,2012
ASN00001009,-15.4875,124.5222,12,KURI BAY,DATN,1991,2012
ASN00001009,-15.4875,124.5222,12,KURI BAY,DATX,1991,2012
ASN00001009,-15.4875,124.5222,12,KURI BAY,DWPR,1972,2010
ASN00001009,-15.4875,124.5222,12,KURI BAY,MDPR,1972,2012
ASN00001009,-15.4875,124.5222,12,KURI BAY,MDTN,1991,2012
ASN00001009,-15.4875,124.5222,12,KURI BAY,MDTX,1991,2012
ASN00001010,-14.7883,126.4964,210,THEDA,PRCP,1965,2021
ASN00001010,-14.7883,126.4964,210,THEDA,DAPR,1970,2008
ASN00001010,-14.7883,126.4964,210,THEDA,DWPR,1970,2008
ASN00001010,-14.7883,126.4964,210,THEDA,MDPR,1970,2008
ASN00001011,-16.0497,124.95,-999.9,PANTA DOWNS,PRCP,1966,1969
ASN00001012,-14.7925,125.8258,315,MITCHELL PLATEAU,TMAX,1970,1986
ASN00001012,-14.7925,125.8258,315,MITCHELL PLATEAU,TMIN,1970,1986
ASN00001012,-14.7925,125.8258,315,MITCHELL PLATEAU,PRCP,1968,1986
ASN00001012,-14.7925,125.8258,315,MITCHELL PLATEAU,DAPR,1970,1984
